 Nom Ville 	MAJ   	 Latitude 	 Longitude 
 L'Abergement-Clémenciat 	L ABERGEMENT CLEMENCIAT 	46.15	4.916667
 L'Abergement-de-Varey 	L ABERGEMENT DE VAREY	46	5.416667
 Amareins 	AMAREINS   	46.083333	4.8
 Ambérieu-en-Bugey 	AMBERIEU EN BUGEY 	45.95	5.35
 Ambérieux-en-Dombes 	AMBERIEUX EN DOMBES 	46	4.9
 Ambléon 	AMBLEON   	45.75	5.6
 Ambronay 	AMBRONAY   	46	5.35
 Ambutrix 	AMBUTRIX   	45.933333	5.333333
 Andert-et-Condon 	ANDERT ET CONDON 	45.8	5.65
 Anglefort 	ANGLEFORT   	45.916667	5.808333
 Apremont 	APREMONT   	46.208333	5.658333
 Aranc 	ARANC   	46	5.5
 Arandas 	ARANDAS   	45.9	5.483333
 Arbent 	ARBENT   	46.3	5.683333
 Arbignieu 	ARBIGNIEU   	45.733333	5.65
 Arbigny 	ARBIGNY   	46.466667	4.966667
 Argis 	ARGIS   	45.933333	5.483333
 Armix 	ARMIX   	45.85	5.583333
 Ars-sur-Formans 	ARS SUR FORMANS 	45.983333	4.816667
 Artemare 	ARTEMARE   	45.866667	5.7
 Asnières-sur-Saône 	ASNIERES SUR SAONE 	46.383333	4.883333
 Attignat 	ATTIGNAT   	46.283333	5.166667
 Bâgé-la-Ville 	BAGE LA VILLE 	46.316667	4.95
 Bâgé-le-Châtel 	BAGE LE CHATEL 	46.3	4.933333
 Balan 	BALAN   	45.833333	5.1
 Baneins 	BANEINS   	46.116667	4.9
 Beaupont 	BEAUPONT   	46.4	5.266667
 Bellignat 	BELLIGNAT   	46.25	5.616667
 Béligneux 	BELIGNEUX   	45.866667	5.116667
 Bellegarde-sur-Valserine 	BELLEGARDE SUR VALSERINE 	46.1	5.816667
 Belley 	BELLEY   	45.766667	5.683333
 Belleydoux 	BELLEYDOUX   	46.25	5.766667
 Bénonces 	BENONCES   	45.833333	5.483333
 Bény 	BENY   	46.333333	5.283333
 Béon 	BEON   	45.833333	5.75
 Béréziat 	BEREZIAT   	46.366667	5.05
 Bettant 	BETTANT   	45.933333	5.366667
 Bey 	BEY   	46.216667	4.85
 Beynost 	BEYNOST   	45.833333	5
 Billiat 	BILLIAT   	46.066667	5.783333
 Birieux 	BIRIEUX   	45.95	5.033333
 Biziat 	BIZIAT   	46.216667	4.933333
 Blyes 	BLYES   	45.85	5.25
 Bohas 	BOHAS   	46.166667	5.4
 La Boisse 	LA BOISSE  	45.85	5.033333
 Boissey 	BOISSEY   	46.383333	5
 Bolozon 	BOLOZON   	46.2	5.483333
 Bouligneux 	BOULIGNEUX   	46.016667	5
 Bourg-en-Bresse 	BOURG EN BRESSE 	46.2	5.216667
 Bourg-Saint-Christophe 	BOURG SAINT CHRISTOPHE 	45.883333	5.166667
 Bouvent 	BOUVENT   	46.283333	5.633333
 Boyeux-Saint-Jérôme 	BOYEUX SAINT JEROME 	46.033333	5.466667
 Boz 	BOZ   	46.4	4.9
 Brégnier-Cordon 	BREGNIER CORDON  	45.65	5.616667
 Brénaz 	BRENAZ   	45.95	5.716667
 Brénod 	BRENOD   	46.066667	5.6
 Bressolles 	BRESSOLLES   	45.866667	5.1
 Briord 	BRIORD   	45.783333	5.466667
 Buellas 	BUELLAS   	46.2	5.133333
 La Burbanche 	LA BURBANCHE  	45.85	5.566667
 Ceignes 	CEIGNES   	46.116667	5.5
 Cerdon 	CERDON   	46.083333	5.466667
 Certines 	CERTINES   	46.133333	5.266667
 Cesseins 	CESSEINS   	46.066667	4.833333
 Cessy 	CESSY   	46.316667	6.066667
 Ceyzériat 	CEYZERIAT   	46.166667	5.316667
 Ceyzérieu 	CEYZERIEU   	45.833333	5.733333
 Chalamont 	CHALAMONT   	46	5.166667
 Chaleins 	CHALEINS   	46.033333	4.8
 Chaley 	CHALEY   	45.95	5.533333
 Challes 	CHALLES   	46.133333	5.466667
 Challex 	CHALLEX   	46.183333	5.966667
 Champagne-en-Valromey 	CHAMPAGNE EN VALROMEY 	45.9	5.683333
 Champdor 	CHAMPDOR   	46.016667	5.6
 Champfromier 	CHAMPFROMIER   	46.2	5.816667
 Chanay 	CHANAY   	46	5.783333
 Chaneins 	CHANEINS   	46.1	4.85
 Chanoz-Châtenay 	CHANOZ CHATENAY  	46.183333	5.033333
 La Chapelle-du-Châtelard 	LA CHAPELLE DU CHATELARD	46.066667	5.033333
 Charancin 	CHARANCIN   	45.933333	5.633333
 Charix 	CHARIX   	46.183333	5.683333
 Charnoz-sur-Ain 	CHARNOZ SUR AIN 	45.866667	5.216667
 Château-Gaillard 	CHATEAU GAILLARD  	45.966667	5.3
 Châtenay 	CHATENAY   	46.033333	5.2
 Châtillon-en-Michaille 	CHATILLON EN MICHAILLE 	46.133333	5.783333
 Châtillon-la-Palud 	CHATILLON LA PALUD 	45.966667	5.25
 Châtillon-sur-Chalaronne 	CHATILLON SUR CHALARONNE 	46.116667	4.966667
 Chavannes-sur-Reyssouze 	CHAVANNES SUR REYSSOUZE 	46.433333	5
 Chavannes-sur-Suran 	CHAVANNES SUR SURAN 	46.266667	5.416667
 Chaveyriat 	CHAVEYRIAT   	46.183333	5.066667
 Chavornay 	CHAVORNAY   	45.883333	5.7
 Chazey-Bons 	CHAZEY BONS  	45.8	5.683333
 Chazey-sur-Ain 	CHAZEY SUR AIN 	45.9	5.25
 Cheignieu-La-Balme 	CHEIGNIEU LA BALME 	45.833333	5.616667
 Chevillard 	CHEVILLARD   	46.116667	5.583333
 Chevroux 	CHEVROUX   	46.383333	4.95
 Chevry 	CHEVRY   	46.283333	6.033333
 Chézery-Forens 	CHEZERY FORENS  	46.216667	5.883333
 Civrieux 	CIVRIEUX   	45.916667	4.883333
 Cize 	CIZE   	46.2	5.433333
 Cleyzieu 	CLEYZIEU   	45.9	5.433333
 Coligny 	COLIGNY   	46.383333	5.35
 Collonges 	COLLONGES   	46.133333	5.9
 Colomieu 	COLOMIEU   	45.733333	5.616667
 Conand 	CONAND   	45.883333	5.466667
 Condamine 	CONDAMINE   	46.116667	5.566667
 Condeissiat 	CONDEISSIAT   	46.166667	5.083333
 Confort 	CONFORT   	46.15	5.816667
